State Code,State Name,State Abbreviation,County Code,County Name,EPA Region,fips
1,Alabama,AL,1,Autauga,4,1001
1,Alabama,AL,3,Baldwin,4,1003
1,Alabama,AL,5,Barbour,4,1005
1,Alabama,AL,7,Bibb,4,1007
1,Alabama,AL,9,Blount,4,1009
1,Alabama,AL,11,Bullock,4,1011
1,Alabama,AL,13,Butler,4,1013
1,Alabama,AL,15,Calhoun,4,1015
1,Alabama,AL,17,Chambers,4,1017
1,Alabama,AL,19,Cherokee,4,1019
1,Alabama,AL,21,Chilton,4,1021
1,Alabama,AL,23,Choctaw,4,1023
1,Alabama,AL,25,Clarke,4,1025
1,Alabama,AL,27,Clay,4,1027
1,Alabama,AL,29,Cleburne,4,1029
1,Alabama,AL,31,Coffee,4,1031
1,Alabama,AL,33,Colbert,4,1033
1,Alabama,AL,35,Conecuh,4,1035
1,Alabama,AL,37,Coosa,4,1037
1,Alabama,AL,39,Covington,4,1039
1,Alabama,AL,41,Crenshaw,4,1041
1,Alabama,AL,43,Cullman,4,1043
1,Alabama,AL,45,Dale,4,1045
1,Alabama,AL,47,Dallas,4,1047
1,Alabama,AL,49,DeKalb,4,1049
1,Alabama,AL,51,Elmore,4,1051
1,Alabama,AL,53,Escambia,4,1053
1,Alabama,AL,55,Etowah,4,1055
1,Alabama,AL,57,Fayette,4,1057
1,Alabama,AL,59,Franklin,4,1059
1,Alabama,AL,61,Geneva,4,1061
1,Alabama,AL,63,Greene,4,1063
1,Alabama,AL,65,Hale,4,1065
1,Alabama,AL,67,Henry,4,1067
1,Alabama,AL,69,Houston,4,1069
1,Alabama,AL,71,Jackson,4,1071
1,Alabama,AL,73,Jefferson,4,1073
1,Alabama,AL,75,Lamar,4,1075
1,Alabama,AL,77,Lauderdale,4,1077
1,Alabama,AL,79,Lawrence,4,1079
1,Alabama,AL,81,Lee,4,1081
1,Alabama,AL,83,Limestone,4,1083
1,Alabama,AL,85,Lowndes,4,1085
1,Alabama,AL,87,Macon,4,1087
1,Alabama,AL,89,Madison,4,1089
1,Alabama,AL,91,Marengo,4,1091
1,Alabama,AL,93,Marion,4,1093
1,Alabama,AL,95,Marshall,4,1095
1,Alabama,AL,97,Mobile,4,1097
1,Alabama,AL,99,Monroe,4,1099
1,Alabama,AL,101,Montgomery,4,1101
1,Alabama,AL,103,Morgan,4,1103
1,Alabama,AL,105,Perry,4,1105
1,Alabama,AL,107,Pickens,4,1107
1,Alabama,AL,109,Pike,4,1109
1,Alabama,AL,111,Randolph,4,1111
1,Alabama,AL,113,Russell,4,1113
1,Alabama,AL,115,St. Clair,4,1115
1,Alabama,AL,117,Shelby,4,1117
1,Alabama,AL,119,Sumter,4,1119
1,Alabama,AL,121,Talladega,4,1121
1,Alabama,AL,123,Tallapoosa,4,1123
1,Alabama,AL,125,Tuscaloosa,4,1125
1,Alabama,AL,127,Walker,4,1127
1,Alabama,AL,129,Washington,4,1129
1,Alabama,AL,131,Wilcox,4,1131
1,Alabama,AL,133,Winston,4,1133
2,Alaska,AK,13,Aleutians East ,10,2013
2,Alaska,AK,16,Aleutians West ,10,2016
2,Alaska,AK,20,Anchorage ,10,2020
2,Alaska,AK,50,Bethel ,10,2050
2,Alaska,AK,60,Bristol Bay ,10,2060
2,Alaska,AK,68,Denali ,10,2068
2,Alaska,AK,70,Dillingham ,10,2070
2,Alaska,AK,90,Fairbanks North Star ,10,2090
2,Alaska,AK,100,Haines ,10,2100
2,Alaska,AK,105,Hoonah-Angoon ,10,2105
2,Alaska,AK,110,Juneau ,10,2110
2,Alaska,AK,122,Kenai Peninsula ,10,2122
2,Alaska,AK,130,Ketchikan Gateway ,10,2130
2,Alaska,AK,150,Kodiak Island ,10,2150
2,Alaska,AK,164,Lake and Peninsula ,10,2164
2,Alaska,AK,170,Matanuska-Susitna ,10,2170
2,Alaska,AK,180,Nome ,10,2180
2,Alaska,AK,185,North Slope ,10,2185
2,Alaska,AK,188,Northwest Arctic ,10,2188
2,Alaska,AK,195,Petersburg ,10,2195
2,Alaska,AK,198,Prince of Wales-Hyder ,10,2198
2,Alaska,AK,220,Sitka ,10,2220
2,Alaska,AK,230,Skagway ,10,2230
2,Alaska,AK,240,Southeast Fairbanks ,10,2240
2,Alaska,AK,261,Valdez-Cordova ,10,2261
2,Alaska,AK,270,Wade Hampton ,10,2270
2,Alaska,AK,275,Wrangell ,10,2275
2,Alaska,AK,282,Yakutat ,10,2282
2,Alaska,AK,290,Yukon-Koyukuk ,10,2290
4,Arizona,AZ,1,Apache,9,4001
4,Arizona,AZ,3,Cochise,9,4003
4,Arizona,AZ,5,Coconino,9,4005
4,Arizona,AZ,7,Gila,9,4007
4,Arizona,AZ,9,Graham,9,4009
4,Arizona,AZ,11,Greenlee,9,4011
4,Arizona,AZ,12,La Paz,9,4012
4,Arizona,AZ,13,Maricopa,9,4013
4,Arizona,AZ,15,Mohave,9,4015
4,Arizona,AZ,17,Navajo,9,4017
