county,state,fips,latitude,longitude
Los Angeles,California,6037,34.30828379,-118.2282411
Maricopa,Arizona,4013,33.34835867,-112.4918154
Cook,Illinois,17031,41.84144849,-87.81658794
Miami-Dade,Florida,12086,25.6112362,-80.55170587
Harris,Texas,48201,29.859013239676724,-95.39248055213362
Dallas,Texas,48113,32.76670599,-96.77796049999999
Riverside,California,6065,33.74314981,-115.9933578
San Bernardino,California,6071,34.84060306,-116.1774685
San Diego,California,6073,33.03484597,-116.73653259999999
Kings,New York,36047,40.6361825,-73.94935552
Queens,New York,36081,40.71088124,-73.81684712
Orange,California,6059,33.70147516,-117.76459979999998
Tarrant,Texas,48439,32.77143818,-97.29101614
Clark,Nevada,32003,36.21458855,-115.0130241
Broward,Florida,12011,26.15184651,-80.48725556
Bexar,Texas,48029,29.44928723,-98.52019748
Suffolk,New York,36103,40.88320119,-72.8012172
Nassau,New York,36059,40.74066522,-73.58941873
Bronx,New York,36005,40.85209301,-73.86282755
Wayne,Michigan,26163,42.28087094935622,-83.28501553218885
Philadelphia,Pennsylvania,42101,40.00338507,-75.1379271
Salt Lake,Utah,49035,40.66616532,-111.9216011
Palm Beach,Florida,12099,26.64676272,-80.46536002
Hillsborough,Florida,12057,27.9276559,-82.32013172
Orange,Florida,12095,28.51367621,-81.31799498
New York,New York,36061,40.76727260000001,-73.97152637
El Paso,Texas,48141,31.76980765,-106.2363275
Middlesex,Massachusetts,25017,42.48607732,-71.39049229
Westchester,New York,36119,41.16278376,-73.75741653
Franklin,Ohio,39049,39.96995815,-83.01115755
Hennepin,Minnesota,27053,45.00761521,-93.47694895
Santa Clara,California,6085,37.23104908,-121.6970462
Oakland,Michigan,26125,42.66090111,-83.38595416
Milwaukee,Wisconsin,55079,43.00486062,-87.96733172
Pima,Arizona,4019,32.0971334,-111.7890033
Cuyahoga,Ohio,39035,41.424119,-81.65918339
Mecklenburg,North Carolina,37119,35.24469268,-80.8317671
King,Washington,53033,47.49137892,-121.8346131
Kern,California,6029,35.34329425,-118.72777960000002
Sacramento,California,6067,38.45106826,-121.3425374
Bergen,New Jersey,34003,40.96010917,-74.07164325
Marion,Indiana,18097,39.78163624,-86.13826325
Gwinnett,Georgia,13135,33.96044201,-84.02137802
Duval,Florida,12031,30.33225875,-81.66976468
Fresno,California,6019,36.75733899,-119.6466953
Allegheny,Pennsylvania,42003,40.46809875,-79.98167747
